,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2018-02-25,0,1,0,1,-0.03089348500517061,0.010400224263596084,-0.09891730769230767,0.0022737967914438738
2018-02-26,0,0,1,0,-0.025404238859016187,0.005729670981128325,-0.06357037718491262,0.005729670981128325
2018-02-27,0,0,0,0,-0.015497942996923782,0.007026822102170355,-0.04260767705892959,0.024056579223828208
2018-02-28,0,1,0,1,-0.028912516321581795,0.016796875,-0.03868525528575385,0.012023366348181987
2018-03-01,1,0,1,0,-0.029738992406067914,0.004452693977892331,-0.03945892857142862,-0.0011086350974930834
2018-03-02,1,0,0,0,-0.02389937106918239,0.002675585901628128,-0.0577623590633131,-0.02179530814708362
2018-03-03,0,0,1,0,-0.0038981288981288983,0.020500532481363153,0.0063977454730043464,0.04063160066678608
2018-03-04,1,1,1,0,-0.034673584089926504,0.002967396372463555,-0.03824948311509304,-0.021989468252765456
2018-03-05,1,0,1,1,-0.017079419299743808,0.02292925702097405,0.013204225352112676,0.06793792413651042
2018-03-06,0,0,0,1,-0.0007699007966879439,0.03898543694839081,0.006884869629085548,0.11793985728848112
2018-03-07,0,0,0,1,-0.021704392565032378,0.056307651999987274,-0.01792256659075156,0.0549941495585576
2018-03-08,0,1,0,1,-0.0010108631005546927,0.04933774834437086,0.014837745516652434,0.14143354544363068
2018-03-09,0,1,0,0,-0.0739614269485568,0.003719396927182613,-0.08690937829293999,-0.045012707110471444
2018-03-10,1,1,0,1,-0.0011367704881631287,0.11265443786982252,0.007169791108730615,0.10610941176470591
2018-03-11,1,0,1,0,-0.05749075975359334,0.0004402789886661806,-0.07168051387012467,0.01955131052865403
2018-03-12,0,1,0,1,-0.012157382134728058,0.04742482915717533,-0.029302301034410026,0.04232007253768553
2018-03-13,1,0,0,0,-0.014033971231376759,0.025026453258484592,-0.011727878006872758,0.09936435388322325
2018-03-14,0,0,0,1,-0.0022511848341232226,0.06591158794371849,-0.0010676156583629894,0.1007843137254902
2018-03-15,0,0,0,0,-0.036606757453178713,0.002653147065485023,-0.06439888337180828,0.0198810126582279
2018-03-16,1,0,0,0,-0.006155633796257368,0.0379389591439689,0.022445625744134886,0.08708514811135738
2018-03-17,0,0,0,1,-0.020048447204968983,0.028512683313515603,0.007613999233618556,0.07738459437312205
2018-03-18,1,1,1,0,-0.12774006622516557,0.006252387448840372,-0.1527127944925062,-0.0880977696454181
2018-03-19,1,0,0,0,-0.027613912749259218,0.019568201975530573,-0.05004069591716363,0.013497584541062828
2018-03-20,0,0,1,0,-0.026504972375690695,0.005721454655873564,-0.03997816282209576,0.0008099511530159264
2018-03-21,1,1,0,1,-0.022099447513812154,0.011359221081982908,-0.027472527472527472,0.04546904348442424
2018-03-22,0,1,0,0,-0.01835917901938429,0.011608422833775828,-0.009091871758452458,0.04111621719675895
2018-03-23,1,0,1,0,-0.036681904337161335,0.009434237812892484,-0.03999466663703695,-0.003034743777621277
2018-03-24,0,1,0,1,-0.004771409455843095,0.05486467320647667,0.03265185699409917,0.06687250545974832
2018-03-25,0,1,1,0,-0.013268972358230057,0.022568730576141463,0.007485352568820785,0.06934991331260827
2018-03-26,0,0,0,1,-0.022906210316260462,0.03168177755075985,-0.014263055148853055,0.04516170763260031
2018-03-27,0,1,0,0,-0.0012800591934887297,0.04633333333333332,-0.0012800591934887297,0.047958074534161475
